OK,ID,java.lang.Integer,true,TRUE,
OK,Name,java.lang.String,false,false,
OK,DPS,java.lang.Double,false,TRUE,
OK,Weak,java.lang.Boolean,false,false,
OK,Birth Date,java.util.Date,false,false,
DEMONSTRATION,ID,java.lang.Integer,true,TRUE,
DEMONSTRATION,Name,java.lang.String,false,false,
DEMONSTRATION,DPS,java.lang.Double,false,TRUE,
DEMONSTRATION,Weak,java.lang.Boolean,false,false,
DEMONSTRATION,Birth Date,java.util.Date,false,false,
DEMONSTRATIONAGAIN,ID,java.lang.Integer,true,TRUE,
DEMONSTRATIONAGAIN,Name,java.lang.String,false,false,
DEMONSTRATIONAGAIN,DPS,java.lang.Double,false,TRUE,
DEMONSTRATIONAGAIN,Weak,java.lang.Boolean,false,false,
DEMONSTRATIONAGAIN,Birth Date,java.util.Date,false,false,
Submission,ID,java.lang.Integer,true,TRUE,
Submission,Name,java.lang.String,false,false,
Submission,DPS,java.lang.Double,false,TRUE,
Submission,Weak,java.lang.Boolean,false,false,
Submission,Birth Date,java.util.Date,false,false,
Submission2,ID,java.lang.Integer,true,TRUE,
Submission2,Name,java.lang.String,false,false,
Submission2,DPS,java.lang.Double,false,TRUE,
Submission2,Weak,java.lang.Boolean,false,false,
Submission2,Birth Date,java.util.Date,false,false,
Submission4,ID,java.lang.Integer,true,TRUE,
Submission4,Name,java.lang.String,false,false,
Submission4,DPS,java.lang.Double,false,TRUE,
Submission4,Weak,java.lang.Boolean,false,false,
Submission4,Birth Date,java.util.Date,false,false,
FinalSubmission,ID,java.lang.Integer,true,TRUE,
FinalSubmission,Name,java.lang.String,false,false,
FinalSubmission,DPS,java.lang.Double,false,TRUE,
FinalSubmission,Weak,java.lang.Boolean,false,false,
FinalSubmission,Birth Date,java.util.Date,false,false,
irelia,ID,java.lang.Integer,true,TRUE,
irelia,Name,java.lang.String,false,false,
irelia,DPS,java.lang.Double,false,TRUE,
irelia,Weak,java.lang.Boolean,false,false,
irelia,Birth Date,java.util.Date,false,false,
TEST,ID,java.lang.Integer,true,TRUE,
TEST,Name,java.lang.String,false,false,
TEST,DPS,java.lang.Double,false,TRUE,
TEST,Weak,java.lang.Boolean,false,false,
TEST,Birth Date,java.util.Date,false,false,
TL,ID,java.lang.Integer,true,TRUE,
TL,Name,java.lang.String,false,false,
TL,DPS,java.lang.Double,false,TRUE,
TL,Weak,java.lang.Boolean,false,false,
TL,Birth Date,java.util.Date,false,false,
hjkel,ID,java.lang.Integer,true,TRUE,
hjkel,Name,java.lang.String,false,false,
hjkel,DPS,java.lang.Double,false,TRUE,
hjkel,Weak,java.lang.Boolean,false,false,
hjkel,Birth Date,java.util.Date,false,false,
kop,ID,java.lang.Integer,true,TRUE,
kop,Name,java.lang.String,false,false,
kop,DPS,java.lang.Double,false,TRUE,
kop,Weak,java.lang.Boolean,false,false,
kop,Birth Date,java.util.Date,false,false,
ffsa,ID,java.lang.Integer,true,TRUE,
ffsa,Name,java.lang.String,false,false,
ffsa,DPS,java.lang.Double,false,TRUE,
ffsa,Weak,java.lang.Boolean,false,false,
ffsa,Birth Date,java.util.Date,false,false,
finalsub,ID,java.lang.Integer,true,false,
finalsub,Name,java.lang.String,false,false,
finalsub,DPS,java.lang.Double,false,TRUE,
finalsub,Weak,java.lang.Boolean,false,false,
finalsub,Birth Date,java.util.Date,false,false,
FirstTable,ID,java.lang.Integer,true,TRUE,
FirstTable,Name,java.lang.String,false,false,
FirstTable,DPS,java.lang.Double,false,TRUE,
FirstTable,Weak,java.lang.Boolean,false,false,
FirstTable,Birth Date,java.util.Date,false,false,
